Experiment	Oscilloscope	
1.6200000E+0	-98.892770E-9
1.6300000E+0	-98.889174E-9
1.6400000E+0	-98.888350E-9
1.6500000E+0	-98.887433E-9
1.6600000E+0	-98.885558E-9
1.6700000E+0	-98.887156E-9
1.6799999E+0	-98.889529E-9
1.6899999E+0	-98.890730E-9
1.6999999E+0	-98.891775E-9
1.7099999E+0	-98.894034E-9
1.7199999E+0	-98.896265E-9
1.7300000E+0	-98.894766E-9
1.7400000E+0	-98.894134E-9
1.7500000E+0	-98.892656E-9
1.7600000E+0	-98.891114E-9
1.7700000E+0	-98.887668E-9
1.7800000E+0	-98.885849E-9
1.7900000E+0	-98.883348E-9
1.8000000E+0	-98.881763E-9
1.8099999E+0	-98.881777E-9
1.8199999E+0	-98.881223E-9
1.8299999E+0	-98.881408E-9
1.8399999E+0	-98.883831E-9
1.8499999E+0	-98.886360E-9
1.8600000E+0	-98.887284E-9
1.8700000E+0	-98.891945E-9
1.8800000E+0	-98.893153E-9
1.8900000E+0	-98.893679E-9
1.9000000E+0	-98.891391E-9
1.9100000E+0	-98.892095E-9
1.9200000E+0	-98.888862E-9
1.9299999E+0	-98.885280E-9
1.9399999E+0	-98.883611E-9
1.9499999E+0	-98.880285E-9
1.9599999E+0	-98.878097E-9
1.9699999E+0	-98.876534E-9
1.9799999E+0	-98.877180E-9
1.9900000E+0	-98.875617E-9
2.0000000E+0	-98.877067E-9
2.0100000E+0	-98.879674E-9
2.0200000E+0	-98.880371E-9
2.0300000E+0	-98.883454E-9
2.0400000E+0	-98.885479E-9
2.0500000E+0	-98.886041E-9
2.0599999E+0	-98.885018E-9
2.0699999E+0	-98.885899E-9
2.0799999E+0	-98.881642E-9
2.0899999E+0	-98.879347E-9
2.0999999E+0	-98.877265E-9
2.1099999E+0	-98.873706E-9
2.1199999E+0	-98.870530E-9
2.1299999E+0	-98.870743E-9
2.1399999E+0	-98.871112E-9
2.1499999E+0	-98.870714E-9
2.1599998E+0	-98.873059E-9
2.1699998E+0	-98.875745E-9
2.1800001E+0	-98.878225E-9
2.1900001E+0	-98.879454E-9
2.2000000E+0	-98.883056E-9
2.2100000E+0	-98.883056E-9
2.2200000E+0	-98.881728E-9
2.2300000E+0	-98.879823E-9
2.2400000E+0	-98.876882E-9
2.2500000E+0	-98.875240E-9
2.2600000E+0	-98.873699E-9
2.2700000E+0	-98.869506E-9
2.2800000E+0	-98.867311E-9
2.2900000E+0	-98.867176E-9
2.3000000E+0	-98.867204E-9
2.3099999E+0	-98.867226E-9
2.3199999E+0	-98.870395E-9
2.3299999E+0	-98.874040E-9
2.3399999E+0	-98.874580E-9
2.3499999E+0	-98.877429E-9
2.3599999E+0	-98.879703E-9
2.3699999E+0	-98.879958E-9
2.3799999E+0	-98.878608E-9
2.3899999E+0	-98.877933E-9
2.3999999E+0	-98.876164E-9
2.4099998E+0	-98.872917E-9
2.4199998E+0	-98.870792E-9
2.4299998E+0	-98.868519E-9
2.4400001E+0	-98.866785E-9
2.4500000E+0	-98.863190E-9
2.4600000E+0	-98.861349E-9
2.4700000E+0	-98.862905E-9
2.4800000E+0	-98.863033E-9
2.4900000E+0	-98.864604E-9
2.5000000E+0	-98.864938E-9
2.5100000E+0	-98.870750E-9
2.5200000E+0	-98.871318E-9
2.5300000E+0	-98.873876E-9
2.5400000E+0	-98.873187E-9
2.5500000E+0	-98.874104E-9
